iata,airport,city,state,long,lat
ABE,"Lehigh Valley International",Allentown,PA,-75.44040167,40.65236278
ABI,"Abilene Regional",Abilene,TX,-99.68189722,32.41132
ABQ,"Albuquerque International",Albuquerque,NM,-106.6091944,35.04022222
ABY,"Southwest Georgia Regional",Albany,GA,-84.19447333,31.535515
ACK,"Nantucket Memorial",Nantucket,MA,-70.06018139,41.25305194
ACT,"Waco Regional",Waco,TX,-97.23051917,31.61128833
ACV,Arcata,Arcata/Eureka,CA,-124.1086189,40.97811528
ACY,"Atlantic City International","Atlantic City",NJ,-74.57716667,39.45758333
ADK,Adak,Adak,AK,-176.6460306,51.87796389
ADQ,"Kodiak ",Kodiak,AK,-152.4938553,57.74996778
AEX,"Alexandria International",Alexandria,LA,-92.54855611,31.32737167
AGS,"Bush ",Augusta,GA,-81.96449611,33.369955
AKN,"King Salmon","King Salmon",AK,-156.6492175,58.67680167
ALB,"Albany Cty",Albany,NY,-73.80297861,42.74811944
ALO,"Waterloo Municipal",Waterloo,IA,-92.40034361,42.55708139
AMA,"Amarillo International",Amarillo,TX,-101.7059272,35.2193725
ANC,"Ted Stevens Anchorage International",Anchorage,AK,-149.9961856,61.17432028
APF,"Naples Municipal",Naples,FL,-81.77544444,26.15247222
ASE,"Aspen-Pitkin Co/Sardy ",Aspen,CO,-106.868845,39.22316
ATL,"William B Hartsfield-Atlanta Intl",Atlanta,GA,-84.42694444,33.64044444
ATW,"Outagamie County Regional",Appleton,WI,-88.51947556,44.25740806
AUS,"Austin-Bergstrom International",Austin,TX,-97.66987194,30.19453278
AVL,"Asheville Regional",Asheville,NC,-82.54180556,35.43619444
AVP,"Wilkes-Barre/Scranton Intl",Wilkes-Barre/Scranton,PA,-75.7242675,41.33814944
AZO,"Kalamazoo County",Kalamazoo,MI,-85.5520575,42.234875
BDL,"Bradley International","Windsor Locks",CT,-72.68322833,41.93887417
BET,Bethel,Bethel,AK,-161.8379975,60.77977639
BFF,"Scotts Bluff County",Scottsbluff,NE,-103.5956389,41.87402778
BFL,"Meadows ",Bakersfield,CA,-119.0567681,35.43359806
BGM,"Binghamton Regional",Binghamton,NY,-75.97961361,42.20848278
BGR,"Bangor International",Bangor,ME,-68.82813889,44.80744444
BHM,"Birmingham International",Birmingham,AL,-86.75354972,33.56294306
BIL,"Billings Logan Intl",Billings,MT,-108.5428611,45.8076625
BIS,"Bismarck Municipal",Bismarck,ND,-100.7467222,46.77411111
BJI,"Bemidji-Beltrami County",Bemidji,MN,-94.93372333,47.50942417
BLI,"Bellingham Intl",Bellingham,WA,-122.5375278,48.79275
BMI,"Central Illinois Regional",Bloomington,IL,-88.91595278,40.47798556
BNA,"Nashville International",Nashville,TN,-86.67818222,36.12447667
BOI,"Boise Air Terminal",Boise,ID,-116.2227778,43.56444444
BOS,"Gen Edw L Logan Intl",Boston,MA,-71.00517917,42.3643475
BPT,"Southeast Texas Regional","Beaumont/Port Arthur",TX,-94.02069444,29.95083333
BQK,"Glynco Jetport",Brunswick,GA,-81.46630556,31.25902778
BQN,"Rafael Hernandez",Aguadilla,PR,-67.12944444,18.49486111
BRO,"Brownsville/S.Padre Island International",Brownsville,TX,-97.42586111,25.90683333
BRW,"Wiley Post Will Rogers Memorial",Barrow,AK,-156.7660019,71.2854475
BTM,"Bert Mooney",Butte,MT,-112.49746,45.95479528
BTR,"Baton Rouge Metropolitan, Ryan ","Baton Rouge",LA,-91.14963444,30.53316083
BTV,"Burlington International",Burlington,VT,-73.1503125,44.47300361
BUF,"Buffalo Niagara Intl",Buffalo,NY,-78.73216667,42.94052472
BUR,Burbank-Glendale-Pasadena,Burbank,CA,-118.3584969,34.20061917
BWI,"Baltimore-Washington International",Baltimore,MD,-76.66819833,39.17540167
BZN,"Gallatin ",Bozeman,MT,-111.1530072,45.77690139
CAE,"Columbia Metropolitan",Columbia,SC,-81.11953944,33.93884
CAK,"Akron-Canton Regional",Akron,OH,-81.44246556,40.91631194
CDC,"Cedar City Muni","Cedar City",UT,-113.098575,37.70097028
CDV,"Merle K (Mudhole) Smith",Cordova,AK,-145.4776503,60.49183389
CEC,"Jack McNamara ","Crescent City",CA,-124.2365333,41.78015722
CHA,"Lovell ",Chattanooga,TN,-85.20378778,35.03526833
CHO,Charlottesville-Albermarle,Charlottesville,VA,-78.45286111,38.13863889
CHS,"Charleston AFB/International",Charleston,SC,-80.04050583,32.89864639
CIC,"Chico Municipal",Chico,CA,-121.8584231,39.79538278
CID,"Eastern Iowa ","Cedar Rapids",IA,-91.71087222,41.88458833
CKB,Benedum,Clarksburg,WV,-80.22808333,39.29663889
CLD,"MC Clellan-Palomar Airport",NA,NA,-117.278727,33.127231
CLE,"Cleveland-Hopkins Intl",Cleveland,OH,-81.84939667,41.41089417
CLL,"Easterwood ","College Station",TX,-96.36382417,30.58858944
CLT,"Charlotte/Douglas International",Charlotte,NC,-80.94312583,35.21401111
CMH,"Port Columbus Intl",Columbus,OH,-82.89188278,39.99798528
CMI,"University of Illinois-Willard",Champaign/Urbana,IL,-88.27805556,40.03925
CMX,"Houghton County Memorial",Hancock,MI,-88.48906083,47.16841722
COD,"Yellowstone Regional",Cody,WY,-109.0237961,44.52019417
COS,"City of Colorado Springs Muni","Colorado Springs",CO,-104.70025,38.80580556
CPR,"Natrona County Intl",Casper,WY,-106.4644661,42.90835556
CRP,"Corpus Christi International","Corpus Christi",TX,-97.50121528,27.77036083
CRW,Yeager,Charleston,WV,-81.59318972,38.37315083
CSG,"Columbus Metropolitan",Columbus,GA,-84.93886111,32.51633333
CVG,"Cincinnati Northern Kentucky Intl",Covington,KY,-84.6621725,39.04614278
CWA,"Central Wisconsin",Mosinee,WI,-89.66677944,44.77761917
CYS,Cheyenne,Cheyenne,WY,-104.8118381,41.1557225
DAB,"Daytona Beach International","Daytona Beach",FL,-81.05805556,29.17991667
DAL,"Dallas Love ",Dallas,TX,-96.85177222,32.84711389
DAY,"James M Cox Dayton Intl",Dayton,OH,-84.219375,39.90237583
DBQ,"Dubuque Municipal",Dubuque,IA,-90.70916722,42.40295944
DCA,"Ronald Reagan Washington National",Arlington,VA,-77.03772222,38.85208333
DEN,"Denver Intl",Denver,CO,-104.6670019,39.85840806
DFW,"Dallas-Fort Worth International","Dallas-Fort Worth",TX,-97.0372,32.89595056
DHN,"Dothan ",Dothan,AL,-85.44962889,31.32133917
DLG,Dillingham,Dillingham,AK,-158.5033389,59.0454125
DLH,"Duluth International",Duluth,MN,-92.19364861,46.84209028
DRO,"Durango-La Plata County",Durango,CO,-107.7537692,37.15151667
DSM,"Des Moines International","Des Moines",IA,-93.66068222,41.53493306
DTW,"Detroit Metropolitan-Wayne County",Detroit,MI,-83.34883583,42.21205889
DUT,Unalaska,Unalaska,AK,-166.5435,53.90013889
EAU,"Chippewa Valley Regional","Eau Claire",WI,-91.48507194,44.86525722
EFD,"Ellington ",Houston,TX,-95.15875,29.60733333
EGE,"Eagle County Regional",Eagle,CO,-106.9176953,39.64256778
EKO,"Elko Regional",Elko,NV,-115.7916964,40.82492611
ELM,"Elmira/Corning Regional",Elmira,NY,-76.89144333,42.15991361
ELP,"El Paso International","El Paso",TX,-106.3778056,31.80666667
ERI,"Erie Intl",Erie,PA,-80.17621556,42.08202139
EUG,"Mahlon Sweet ",Eugene,OR,-123.2186856,44.12326
EVV,"Evansville Regional",Evansville,IN,-87.53062667,38.03799139
EWN,"Craven County Regional","New Bern",NC,-77.04294444,35.07297222
EWR,"Newark Intl",Newark,NJ,-74.16866056,40.69249722
EYW,"Key West International","Key West",FL,-81.75955556,24.55611111
FAI,"Fairbanks International",Fairbanks,AK,-147.8596694,64.8136775
FAR,"Hector International",Fargo,ND,-96.81498889,46.91934889
FAT,"Fresno Yosemite International",Fresno,CA,-119.7181389,36.77619444
FAY,"Fayetteville Municipal",Fayetteville,NC,-78.88,34.99147222
FCA,"Glacier Park Intl",Kalispell,MT,-114.2550694,48.31140472
FLG,"Flagstaff Pulliam",Flagstaff,AZ,-111.6712183,35.13845472
FLL,"Fort Lauderdale-Hollywood Int'l","Ft. Lauderdale",FL,-80.15275,26.07258333
FLO,"Florence Regional",Florence,SC,-79.72388889,34.18536111
FMN,"Four Corners Regional",Farmington,NM,-108.2299444,36.74125
FNT,Bishop,Flint,MI,-83.74345639,42.96550333
FSD,"Joe Foss ","Sioux Falls",SD,-96.74170028,43.58135111
FSM,"Fort Smith Regional","Fort Smith",AR,-94.36744111,35.33659028
FWA,"Fort Wayne International","Fort Wayne",IN,-85.19514639,40.97846583
GCC,"Gillette-Campbell County",Gillette,WY,-105.5393614,44.34889806
GEG,"Spokane Intl",Spokane,WA,-117.5338425,47.61985556
