year,month,iata,security_delay
2008,12,ABE,0
2008,12,ABI,0
2008,12,ABQ,7
2008,12,ABY,0
2008,12,ACT,0
2008,12,ACV,0
2008,12,ADK,0
2008,12,ADQ,0
2008,12,AEX,0
2008,12,AGS,0
2008,12,ALB,14
2008,12,ALO,0
2008,12,AMA,0
2008,12,ANC,75
2008,12,ASE,0
2008,12,ATL,270
2008,12,ATW,0
2008,12,AUS,49
2008,12,AVL,0
2008,12,AVP,34
2008,12,AZO,20
2008,12,BDL,20
2008,12,BET,0
2008,12,BFL,0
2008,12,BGM,0
2008,12,BGR,0
2008,12,BHM,128
2008,12,BIL,0
2008,12,BIS,15
2008,12,BMI,0
2008,12,BNA,73
2008,12,BOI,27
2008,12,BOS,713
2008,12,BQK,0
2008,12,BQN,30
2008,12,BRO,0
2008,12,BRW,421
2008,12,BTM,17
2008,12,BTR,12
2008,12,BTV,29
2008,12,BUF,55
2008,12,BUR,36
2008,12,BWI,882
2008,12,BZN,0
2008,12,CAE,8
2008,12,CAK,0
2008,12,CDC,0
2008,12,CDV,0
2008,12,CEC,0
2008,12,CHA,0
2008,12,CHO,45
2008,12,CHS,0
2008,12,CIC,20
2008,12,CID,118
2008,12,CLD,0
2008,12,CLE,68
2008,12,CLL,0
2008,12,CLT,256
2008,12,CMH,20
2008,12,CMI,0
2008,12,CMX,0
2008,12,COD,0
2008,12,COS,0
2008,12,CPR,5
2008,12,CRP,0
2008,12,CRW,0
2008,12,CSG,0
2008,12,CVG,43
2008,12,CWA,33
2008,12,DAB,0
2008,12,DAL,39
2008,12,DAY,37
2008,12,DBQ,0
2008,12,DCA,76
2008,12,DEN,275
2008,12,DFW,0
2008,12,DHN,5
2008,12,DLH,0
2008,12,DRO,0
2008,12,DSM,0
2008,12,DTW,223
2008,12,EGE,0
2008,12,EKO,10
2008,12,ELM,0
2008,12,ELP,338
2008,12,ERI,0
2008,12,EUG,1
2008,12,EVV,0
2008,12,EWN,0
2008,12,EWR,358
2008,12,EYW,10
2008,12,FAI,0
2008,12,FAR,0
2008,12,FAT,68
2008,12,FAY,0
2008,12,FCA,0
2008,12,FLG,0
2008,12,FLL,149
2008,12,FLO,28
2008,12,FNT,32
2008,12,FSD,0
2008,12,FSM,0
2008,12,FWA,0
2008,12,GCC,0
2008,12,GEG,30
2008,12,GFK,0
2008,12,GGG,0
2008,12,GJT,17
2008,12,GNV,0
2008,12,GPT,11
2008,12,GRB,21
2008,12,GRK,5
2008,12,GRR,4
2008,12,GSO,2
2008,12,GSP,0
2008,12,GTF,0
2008,12,GTR,0
2008,12,GUC,0
2008,12,HDN,0
2008,12,HLN,17
2008,12,HNL,17
2008,12,HOU,0
2008,12,HPN,75
2008,12,HRL,0
2008,12,HSV,7
2008,12,HTS,0
2008,12,IAD,274
2008,12,IAH,772
2008,12,ICT,0
2008,12,IDA,0
2008,12,ILM,2
2008,12,IND,30
2008,12,IPL,0
2008,12,ISP,63
2008,12,ITH,51
2008,12,ITO,0
2008,12,IYK,0
2008,12,JAC,0
2008,12,JAN,0
2008,12,JAX,9
2008,12,JFK,89
2008,12,JNU,7
2008,12,KOA,26
2008,12,KTN,0
2008,12,LAN,0
2008,12,LAS,470
2008,12,LAW,0
2008,12,LAX,47
2008,12,LBB,9
2008,12,LCH,0
2008,12,LEX,101
2008,12,LFT,0
2008,12,LGA,182
2008,12,LGB,69
2008,12,LIH,0
2008,12,LIT,15
2008,12,LMT,0
2008,12,LNK,0
2008,12,LRD,0
2008,12,LSE,0
2008,12,LWS,0
2008,12,LYH,0
2008,12,MAF,0
2008,12,MBS,0
2008,12,MCI,126
2008,12,MCO,121
2008,12,MDT,0
2008,12,MDW,102
2008,12,MEI,21
2008,12,MEM,128
2008,12,MFE,0
2008,12,MFR,0
2008,12,MGM,0
2008,12,MHT,30
2008,12,MIA,0
2008,12,MKE,7
2008,12,MLB,0
2008,12,MLI,0
2008,12,MLU,0
2008,12,MOB,0
2008,12,MOD,0
2008,12,MOT,0
2008,12,MQT,0
2008,12,MRY,0
2008,12,MSN,29
2008,12,MSO,0
2008,12,MSP,77
2008,12,MSY,92
2008,12,MTJ,0
2008,12,MYR,0
2008,12,OAJ,0
2008,12,OAK,145
2008,12,OGG,13
2008,12,OKC,0
2008,12,OMA,44
2008,12,OME,15
2008,12,ONT,5
2008,12,ORD,435
2008,12,ORF,7
2008,12,OTH,0
2008,12,OTZ,15
2008,12,OXR,0
2008,12,PBI,2
2008,12,PDX,102
2008,12,PFN,0
2008,12,PHF,0
2008,12,PHL,149
2008,12,PHX,511
2008,12,PIA,1
2008,12,PIH,0
2008,12,PIR,0
2008,12,PIT,105
2008,12,PMD,0
2008,12,PNS,0
2008,12,PSC,10
2008,12,PSE,0
2008,12,PSG,0
2008,12,PSP,0
2008,12,PVD,221
2008,12,PWM,11
